1	YPR093C	XVI	-	719555	720422	719555	720422	1	719555,	720422,	0	ASR1	unk	unk	0,
2	Q0055	Mito	+	13817	18830	13817	18830	2	13817,16434,	13986,18830,	0	AI2	unk	unk	0,
3	YML023C	XIII	-	226993	228664	226993	228664	1	226993,	228664,	0	NSE5	unk	unk	0,
4	YDR017C	IV	-	479112	482265	479112	482265	1	479112,	482265,	0	KCS1	unk	unk	0,
5	YER054C	V	-	262050	263697	262050	263697	1	262050,	263697,	0	GIP2	unk	unk	0,
6	YGR077C	VII	-	637747	639517	637747	639517	1	637747,	639517,	0	PEX8	unk	unk	0,
7	snR74	XIII	+	298136	298224	298224	298224	1	298136,	298224,	0	SNR74	unk	unk	0,
8	YLL055W	XII	+	30108	31704	30108	31704	1	30108,	31704,	0	YCT1	unk	unk	0,
9	YGR075C	VII	-	636150	636879	636150	636879	1	636150,	636879,	0	PRP38	unk	unk	0,
10	YCL055W	III	+	27928	28936	27928	28936	1	27928,	28936,	0	KAR4	unk	unk	0,
11	YML014W	XIII	+	243224	244064	243224	244064	1	243224,	244064,	0	TRM9	unk	unk	0,
12	YCR060W	III	+	224394	224730	224394	224730	1	224394,	224730,	0	TAH1	unk	unk	0,
13	YOL156W	XV	+	25271	26975	25271	26975	1	25271,	26975,	0	HXT11	unk	unk	0,
14	YNL223W	XIV	+	227370	228855	227370	228855	1	227370,	228855,	0	ATG4	unk	unk	0,
15	YJR119C	X	-	644293	646480	644293	646480	1	644293,	646480,	0	JHD2	unk	unk	0,
16	YPR098C	XVI	-	728944	729526	728944	729526	2	728944,729479,	729383,729526,	0	YPR098C	unk	unk	0,
17	YAL069W	I	+	334	649	334	649	1	334,	649,	0	YAL069W	unk	unk	0,
18	YIL014C-A	IX	-	325209	325524	325209	325524	1	325209,	325524,	0	YIL014C-A	unk	unk	0,
19	YLR031W	XII	+	204225	204786	204225	204786	1	204225,	204786,	0	YLR031W	unk	unk	0,
20	YNL326C	XIV	-	27335	28346	27335	28346	1	27335,	28346,	0	PFA3	unk	unk	0,
21	YGR243W	VII	+	977340	977781	977340	977781	1	977340,	977781,	0	FMP43	unk	unk	0,
22	YGR053C	VII	-	594989	595841	594989	595841	1	594989,	595841,	0	YGR053C	unk	unk	0,
23	YMR175W	XIII	+	611014	611254	611014	611254	1	611014,	611254,	0	SIP18	unk	unk	0,
24	YKR091W	XI	+	611166	611907	611166	611907	1	611166,	611907,	0	SRL3	unk	unk	0,
25	YPL161C	XVI	-	244317	246219	244317	246219	1	244317,	246219,	0	BEM4	unk	unk	0,
26	YMR179W	XIII	+	619856	622133	619856	622133	1	619856,	622133,	0	SPT21	unk	unk	0,
27	YCR101C	III	-	302478	303027	302478	303027	1	302478,	303027,	0	YCR101C	unk	unk	0,
28	YLL041C	XII	-	53129	53930	53129	53930	1	53129,	53930,	0	SDH2	unk	unk	0,
29	YOR078W	XV	+	472726	473371	472726	473371	1	472726,	473371,	0	BUD21	unk	unk	0,
30	YMR125W	XIII	+	517537	520445	517537	520445	2	517537,517884,	517562,520445,	0	STO1	unk	unk	0,
31	YGL013C	VII	-	469096	472303	469096	472303	1	469096,	472303,	0	PDR1	unk	unk	0,
32	YMR300C	XIII	-	865557	867090	865557	867090	1	865557,	867090,	0	ADE4	unk	unk	0,
33	YIL122W	IX	+	130606	131662	130606	131662	1	130606,	131662,	0	POG1	unk	unk	0,
34	YKL113C	XI	-	224370	225519	224370	225519	1	224370,	225519,	0	RAD27	unk	unk	0,
35	YLR044C	XII	-	232390	234082	232390	234082	1	232390,	234082,	0	PDC1	unk	unk	0,
36	YKR011C	XI	-	461277	462339	461277	462339	1	461277,	462339,	0	YKR011C	unk	unk	0,
37	YER007C-A	V	-	166235	166884	166235	166884	2	166235,166873,	166770,166884,	0	TMA20	unk	unk	0,
38	tV(AAC)M1	XIII	-	372443	372517	372517	372517	1	372443,	372517,	0	tV(AAC)M1	unk	unk	0,
