ASR1	YPR093C	XVI	-	719555	720422	719555	720422	1	719555,	720422,
AI2	Q0055	Mito	+	13817	18830	13817	18830	2	13817,16434,	13986,18830,
NSE5	YML023C	XIII	-	226993	228664	226993	228664	1	226993,	228664,
KCS1	YDR017C	IV	-	479112	482265	479112	482265	1	479112,	482265,
GIP2	YER054C	V	-	262050	263697	262050	263697	1	262050,	263697,
PEX8	YGR077C	VII	-	637747	639517	637747	639517	1	637747,	639517,
SNR74	snR74	XIII	+	298136	298224			1	298136,	298224,
YCT1	YLL055W	XII	+	30108	31704	30108	31704	1	30108,	31704,
PRP38	YGR075C	VII	-	636150	636879	636150	636879	1	636150,	636879,
KAR4	YCL055W	III	+	27928	28936	27928	28936	1	27928,	28936,
TRM9	YML014W	XIII	+	243224	244064	243224	244064	1	243224,	244064,
TAH1	YCR060W	III	+	224394	224730	224394	224730	1	224394,	224730,
HXT11	YOL156W	XV	+	25271	26975	25271	26975	1	25271,	26975,
ATG4	YNL223W	XIV	+	227370	228855	227370	228855	1	227370,	228855,
JHD2	YJR119C	X	-	644293	646480	644293	646480	1	644293,	646480,
YPR098C	YPR098C	XVI	-	728944	729526	728944	729526	2	728944,729479,	729383,729526,
YAL069W	YAL069W	I	+	334	649	334	649	1	334,	649,
YIL014C-A	YIL014C-A	IX	-	325209	325524	325209	325524	1	325209,	325524,
YLR031W	YLR031W	XII	+	204225	204786	204225	204786	1	204225,	204786,
PFA3	YNL326C	XIV	-	27335	28346	27335	28346	1	27335,	28346,
FMP43	YGR243W	VII	+	977340	977781	977340	977781	1	977340,	977781,
YGR053C	YGR053C	VII	-	594989	595841	594989	595841	1	594989,	595841,
SIP18	YMR175W	XIII	+	611014	611254	611014	611254	1	611014,	611254,
SRL3	YKR091W	XI	+	611166	611907	611166	611907	1	611166,	611907,
BEM4	YPL161C	XVI	-	244317	246219	244317	246219	1	244317,	246219,
SPT21	YMR179W	XIII	+	619856	622133	619856	622133	1	619856,	622133,
YCR101C	YCR101C	III	-	302478	303027	302478	303027	1	302478,	303027,
SDH2	YLL041C	XII	-	53129	53930	53129	53930	1	53129,	53930,
BUD21	YOR078W	XV	+	472726	473371	472726	473371	1	472726,	473371,
